_firestoreId,_type,id,name,category,stock,room,shelf,manufacturer,modelNumber,partNumber,barcode,productCategory,isDiscontinued,minStock,guideUrl,isFaulty,price,description,brochureUrl,weaveFileUrl,weaveConfigured,updatedAt,weaveTemplateId,imageUrl,warrantyEndDate,purchaseDate
7ctaaztxxWKtHEuyDMTv,Product,5623,,,,,,,,,,Aksesuar,,,,,,,,,,,,,,
7e4hOKUCLCByVG8PlxWV,Product,5802,BN360-1000C,Stok Malzemesi,4,Depo,A1,Brigade Electronics,BN360-1000C,5802,5802,,,,,,,,,,,,,,,
7zw4HQ0IDAzNUqQgACvG,Product,5811,,,,,,,,,,Sistem,,,,,,,,,,,,,,
8HXMqSlUN4TE9cRVjNqY,Product,4279,,,,,,,,,,Kablo,,,,,,,,,,,,,,
8URubYYd9XPk9N6qSxON,Product,3749,,,,,,,,,,Aksesuar,,,,,,,,,,,,,,
8dJwAqvWJAYNimMIo7tL,Product,5794,,,,,,,,,,Sistem,,,,,,,,,,,,,,
8ihmWk8lJum3w0EnQ7MP,Product,A3747,FS-4000W,Stok Malzemesi,1,Depo,A1,Brigade Electronics,FS-4000W,A3747,A3747,,,,,,,,,,,,,,,
8jGctMmzaOjUAA6uW5Uh,Product,5466,VBV-7100C,Stok Malzemesi,4,Depo,A1,Brigade Electronics,VBV-7100C,5466,5466,,,,,,,,,,,,,,,
8jrCVEn8Ho202c44A6TJ,Product,6293,DC-IR-CAM,Stok Malzemesi,4,Depo,A1,Brigade Electronics,DC-IR-CAM,6293,6293,,,,,,,,,,,,,,,
8s0AmXHoQxxc1kl7mqkd,Product,BS-00NYC,BS-00NYC,Stok Malzemesi,4,Depo,A1,Brigade Electronics,BS-00NYC,,BS-00NYC,,,,,,,,,,,,,,,
95CCGsoCFhCq8dEHxXnt,Product,4494,,,,,,,,,,Sistem,,,,,,,,,,,,,,
9UO0nnKMFsiR1OzzteWk,Product,S3702,AC-035,Stok Malzemesi,10,Depo,A1,Brigade Electronics,AC-035,S3702,S3702,,,,,,,,,,,,,,,
9bYVU55PrmtCRpY2yY6z,Product,6293,,,,,,,,,,Sistem,,,,,,,,,,,,,,
9sBmyCvzZQBayK4Nb5yZ,Product,5849,,,,,,,,,,Sensor,,,,,,,,,,,,,,
9vGGcwjeFuGZUfDzjzX7,Product,6296,LOCKING -BOX,Stok Malzemesi,11,Depo,A1,Brigade Electronics,LOCKING -BOX,6296,6296,,,,,,,,,,,,,,,
